2,-0.43136,0.19284
4,-0.025494,0.12975
6,-0.16794,0.70903
8,0.28581,0.10186
10,0.46548,0.46711
12,0.36794,0.55054
14,0.41068,0.20462
16,0.4838,0.076708
18,-0.24192,0.63461
20,0.66181,0.045452
22,0.49241,0.49114
24,0.43641,0.59493
26,0.33747,0.52568
28,0.54965,0.85755
30,0.54672,0.81531
32,0.74316,0.85278
34,0.37515,0.52501
36,0.59117,0.8639
38,0.60213,0.47465
40,0.76044,0.75671
42,0.8763,1.1543
44,1.0446,0.82881
46,0.68878,0.93934
48,0.82581,0.99665
50,0.91221,0.64106
52,1.0404,0.87069
54,1.1592,1.0866
56,0.67437,0.73004
58,1.335,0.88195
60,1.1441,0.57476
62,1.5003,0.56387
64,1.485,0.67912
66,1.2354,0.52916
68,1.4033,0.65976
70,1.4578,0.55243
72,1.0785,0.5143
74,1.2381,0.4239
76,1.6142,0.48579
78,1.7548,0.42234
80,1.5469,0.29036
82,1.4086,0.87255
84,1.422,0.15344
86,1.4479,-0.18026
88,1.8334,0.33523
90,1.7007,0.37649
92,1.667,0.096288
94,1.654,0.37458
96,1.8793,0.038111
98,1.9694,0.20603
100,1.9581,0.12504
102,2.2103,0.081821
104,2.1135,-0.12707
106,1.9956,0.43846
108,2.0005,-0.091985
110,2.4897,0.13387
112,2.4714,0.17856
114,2.2341,0.32052
116,2.3845,0.055987
118,2.2454,0.28282
120,2.2964,0.63624
122,2.4986,0.42277
124,2.4525,0.79018
126,2.3634,0.50404
128,2.4765,0.50373
130,3.0377,0.65935
132,2.5146,0.57704
134,2.7678,0.4309
136,2.7797,0.93081
138,2.8065,0.56623
140,2.7959,0.78493
142,2.9068,1.0868
144,2.7395,0.74724
146,2.9135,0.5286
148,2.9594,0.94502
150,2.5615,0.53614
152,3.1027,1.115
154,3.1511,0.9589
156,3.2816,0.87157
158,2.7181,0.75623
160,3.3134,0.98147
162,3.2519,0.71714
164,3.0793,0.69933
166,3.1803,0.45311
168,3.3428,0.54093
170,2.8884,0.70051
172,3.4615,0.72098
174,3.3732,0.59611
176,3.6864,0.55444
178,3.9227,0.32807
180,3.6146,0.22722
182,3.9284,0.19518
184,3.6267,0.11514
186,3.4204,0.32415
188,3.8223,0.063967
190,3.4287,0.41128
192,3.7736,0.24899
194,4.0657,0.27992
196,3.8067,0.019347
198,3.7774,-0.0011631
200,3.9764,0.13983
